record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,explosion,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,cmd_send,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,ChunkLoad,redstone,AFKtime
2025-08-16 23:51:29,290,504,4,0,0,853,173,40,27,1,0,3,170,42,0,0,11,4,0,4,6,1375,4,1,0,4,583,13,1492
2025-08-17 01:36:00,403,560,8,0,7,81,101,77,48,1,0,16,370,156,9,9,20,5,1,48,2610,1886,253,1,0,8,1349,13,412
2025-08-17 03:03:11,468,607,9,1,0,75,87,16,56,1,0,17,478,193,14,14,21,6,2,65,2613,2210,253,1,0,9,1489,13,1598
