record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,chunk_load,redstone,afk_time
2025-07-10 21:02:15,20,40,0,23,2,40,24,0,0,0,0,23,23,0,0,6,0,0,122,79,0,1,0,0,21,0,0
2025-07-10 21:02:15,20,40,0,23,2,40,24,0,0,0,0,23,23,0,0,6,0,0,122,79,0,1,0,0,21,0,0
2025-07-10 21:12:32,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2848,15,0,2,0,0,152,0,0
2025-07-10 21:12:32,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2848,15,0,2,0,0,152,0,0
2025-07-10 21:42:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16258,0,0,0,0,0,152,0,0
2025-07-10 21:42:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16258,0,0,0,0,0,152,0,0
2025-07-10 22:12:32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17901,0,0,0,0,0,152,0,0
2025-07-10 22:12:32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17901,0,0,0,0,0,152,0,0
2025-07-10 22:42:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16630,0,0,0,0,0,152,0,0
2025-07-10 22:42:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16630,0,0,0,0,0,152,0,0
2025-07-10 23:12:32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15097,0,0,0,0,0,152,0,0
2025-07-10 23:12:32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15097,0,0,0,0,0,152,0,0
2025-07-10 23:42:32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16369,0,0,0,0,0,152,0,0
2025-07-10 23:42:32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16369,0,0,0,0,0,152,0,0
2025-07-11 00:12:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16357,0,0,0,0,0,152,0,0
2025-07-11 00:12:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16357,0,0,0,0,0,152,0,0
2025-07-11 00:42:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14330,0,0,0,0,0,152,0,0
2025-07-11 00:42:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14330,0,0,0,0,0,152,0,0
2025-07-11 01:12:32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17462,0,0,0,0,0,152,0,0
2025-07-11 01:12:32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17462,0,0,0,0,0,152,0,0
2025-07-11 01:42:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15349,0,0,0,0,0,152,0,0
2025-07-11 01:42:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15349,0,0,0,0,0,152,0,0
2025-07-11 02:12:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16372,0,0,0,0,0,152,0,0
2025-07-11 02:12:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16372,0,0,0,0,0,152,0,0
2025-07-11 18:06:19,3,0,0,0,0,0,0,0,6,3,0,13,12,0,0,5,0,3,707,49,0,1,0,0,71,0,0
2025-07-11 18:06:19,3,0,0,0,0,0,0,0,6,3,0,13,12,0,0,5,0,3,707,49,0,1,0,0,71,0,0
2025-07-11 18:18:49,109,50,0,814,0,50,633,64,0,0,0,24,24,0,0,4,0,1,15,1692,0,1,0,0,230,0,0
