record_time,pickup,block_break,tnt_prime,multi_place,chat,block_damage,block_place,craft,dmg_by_entity,death,furnace_extract,inv_close,inv_open,bucket_empty,bucket_fill,cmd_pre,player_death,item_drop,exp_change,interact,level_change,quit,respawn,teleport,chunk_load,redstone,afk_time
2025-07-12 07:57:35,92,160,0,183,0,160,184,0,0,0,0,5,5,0,0,5,0,0,0,208,0,0,0,0,56,116,0
2025-07-12 07:57:35,92,160,0,183,0,160,184,0,0,0,0,5,5,0,0,5,0,0,0,208,0,0,0,0,56,116,0
2025-07-12 08:27:35,2456,3176,0,5155,0,3176,5151,0,0,0,0,4,4,67,0,6,0,1,0,5896,0,0,0,0,158,4897,0
2025-07-12 08:27:35,2456,3176,0,5155,0,3176,5151,0,0,0,0,4,4,67,0,6,0,1,0,5896,0,0,0,0,158,4897,0
2025-07-12 08:57:35,5930,7200,0,9000,0,7200,9000,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,158,8999,0
2025-07-12 08:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0
2025-07-12 09:27:35,5935,7200,0,9000,0,7200,9000,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,158,9000,0
2025-07-12 09:27:35,5935,7200,0,9000,0,7200,9000,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,158,9000,0
2025-07-12 09:57:35,5882,7174,0,8964,0,7174,8956,0,0,0,0,0,0,0,0,0,0,0,0,8982,0,0,0,0,158,8956,0
2025-07-12 09:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0
2025-07-12 10:27:35,5923,7201,0,9000,0,7201,9000,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,158,9000,0
2025-07-12 10:27:35,5923,7201,0,9000,0,7201,9000,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,158,9000,0
2025-07-12 10:57:35,5795,7200,0,9001,0,7200,9001,0,0,0,0,0,0,0,0,0,0,0,0,9001,0,0,0,0,158,9001,0
2025-07-12 10:57:35,5795,7200,0,9001,0,7200,9001,0,0,0,0,0,0,0,0,0,0,0,0,9001,0,0,0,0,158,9001,0
2025-07-12 11:27:35,5884,7200,0,8999,0,7200,8999,0,0,0,0,0,0,0,0,0,0,0,0,8999,0,0,0,0,158,8999,0
2025-07-12 11:27:35,5884,7200,0,8999,0,7200,8999,0,0,0,0,0,0,0,0,0,0,0,0,8999,0,0,0,0,158,8999,0
2025-07-12 11:57:35,1698,2079,0,2606,3,2079,2601,0,0,0,0,3,3,0,0,7,0,1,0,2624,0,0,0,0,195,2600,855
2025-07-12 11:57:35,1698,2079,0,2606,3,2079,2601,0,0,0,0,3,3,0,0,7,0,1,0,2624,0,0,0,0,195,2600,855
2025-07-12 12:27:35,32983,31182,0,0,0,31182,0,0,0,0,0,0,0,0,0,0,0,0,1981,3,0,0,0,0,196,0,0
2025-07-12 12:27:35,32983,31182,0,0,0,31182,0,0,0,0,0,0,0,0,0,0,0,0,1981,3,0,0,0,0,196,0,0
2025-07-12 12:57:35,22098,15461,0,55,0,15461,64,0,0,0,0,11,11,0,0,3,0,0,972,109,0,0,0,0,308,43,0
2025-07-12 12:57:35,22098,15461,0,55,0,15461,64,0,0,0,0,11,11,0,0,3,0,0,972,109,0,0,0,0,308,43,0
2025-07-12 13:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0
2025-07-12 13:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,0
2025-07-12 13:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0
2025-07-12 13:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0
2025-07-12 14:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0
2025-07-12 14:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0
2025-07-12 14:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0
2025-07-12 14:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,0
2025-07-12 15:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,1013
2025-07-12 15:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,1013
2025-07-12 15:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 15:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 16:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 16:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 16:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 16:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 17:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 17:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 17:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 17:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 18:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 18:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 18:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 18:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0
2025-07-12 19:27:35,6,8,0,2552,0,8,2585,0,1,0,0,60,60,0,0,2,0,0,0,2666,0,0,0,2,704,578,0
2025-07-12 19:27:35,6,8,0,2552,0,8,2585,0,1,0,0,60,60,0,0,2,0,0,0,2666,0,0,0,2,704,578,0
2025-07-12 19:57:35,13,25,0,2490,1,25,2531,0,0,0,0,91,91,0,0,2,0,0,0,2649,0,0,0,0,1036,508,132
2025-07-12 19:57:35,13,25,0,2490,1,25,2531,0,0,0,0,91,91,0,0,2,0,0,0,2649,0,0,0,0,1036,508,132
2025-07-12 20:27:35,12,14,0,1986,5,14,2020,0,0,0,0,39,39,0,0,1,0,0,0,2127,0,0,0,0,1419,71,0
2025-07-12 20:27:35,12,14,0,1986,5,14,2020,0,0,0,0,39,39,0,0,1,0,0,0,2127,0,0,0,0,1419,71,0
2025-07-12 20:57:35,15,22,0,1894,7,22,1925,0,0,0,0,51,51,0,0,2,0,0,0,1980,0,0,0,0,1618,48,388
2025-07-12 20:57:35,15,22,0,1894,7,22,1925,0,0,0,0,51,51,0,0,2,0,0,0,1980,0,0,0,0,1618,48,388
2025-07-12 21:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,0,0
2025-07-12 21:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,0,0
2025-07-12 21:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,0,0
2025-07-12 21:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,0,0
2025-07-12 22:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,0,0
2025-07-12 22:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1618,0,0
2025-07-12 22:57:35,1,1,0,1007,0,1,1023,0,0,0,0,3,3,0,0,0,0,0,0,1032,0,0,0,0,1718,0,165
2025-07-12 22:57:35,1,1,0,1007,0,1,1023,0,0,0,0,3,3,0,0,0,0,0,0,1032,0,0,0,0,1718,0,165
2025-07-12 23:27:35,4,12,0,281,0,12,280,0,0,0,0,27,27,300,0,4,0,0,0,1562,0,0,0,0,1797,48,867
2025-07-12 23:27:35,4,12,0,281,0,12,280,0,0,0,0,27,27,300,0,4,0,0,0,1562,0,0,0,0,1797,48,867
2025-07-12 23:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,8,0,0,0,1097,0,0,0,0,1819,0,0
2025-07-12 23:57:35,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,8,0,0,0,1097,0,0,0,0,1819,0,42
2025-07-13 00:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,1488,0,0,0,0,1883,0,702
2025-07-13 00:27:35,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,1488,0,0,0,0,1883,0,0
2025-07-13 00:57:35,11,19,0,19,1,19,20,0,0,0,0,2,2,172,0,0,0,0,0,748,0,0,0,0,1960,1,1071
2025-07-13 00:57:35,11,19,0,19,1,19,20,0,0,0,0,2,2,172,0,0,0,0,0,748,0,0,0,0,1960,1,1071
2025-07-13 01:30:54,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,2,0,0,0,426,0,1,0,0,1972,0,0
2025-07-13 01:30:54,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,2,0,0,0,426,0,1,0,0,1972,0,0
2025-07-13 02:00:54,12,49,0,68,3,49,72,0,0,0,0,17,17,1083,0,3,0,0,0,5190,0,0,0,0,2233,20,0
2025-07-13 02:00:54,12,49,0,68,3,49,72,0,0,0,0,17,17,1083,0,3,0,0,0,5190,0,0,0,0,2233,20,0
2025-07-13 02:30:54,0,0,0,6,0,0,6,0,0,0,0,2,2,61,0,0,0,0,0,371,0,0,0,0,2256,0,1269
